"Age","Salary","YearsOfStudy","WorkExp","Location"
48,1674,5,40,"EU"
62,1741,5,59,"EU"
51,1151,6,44,"EU"
45,1721,7,41,"US"
64,2569,4,59,"US"
38,1700,8,29,"US"
55,1582,6,52,"EU"
47,1030,6,43,"EU"
46,2422,5,44,"US"
38,898,7,33,"US"
51,842,6,45,"EU"
46,1421,6,40,"EU"
59,2239,4,55,"US"
45,1576,6,42,"US"
51,1986,7,46,"US"
41,1875,6,36,"US"
38,1587,8,35,"US"
57,2034,4,53,"US"
45,1266,7,37,"EU"
59,2570,4,54,"US"
53,1727,4,50,"EU"
49,1327,6,46,"EU"
49,2251,7,43,"US"
47,1562,7,41,"EU"
56,1536,4,45,"EU"
50,1031,5,44,"EU"
36,842,8,33,"US"
57,1177,5,52,"EU"
54,2196,6,50,"US"
44,830,8,39,"EU"
41,858,7,35,"EU"
51,936,6,47,"EU"
46,1157,6,40,"EU"
64,1010,4,59,"EU"
60,977,5,53,"EU"
55,2486,7,53,"US"
65,1852,4,61,"EU"
52,1282,5,45,"EU"
55,1097,4,55,"EU"
55,1382,6,49,"EU"
47,1265,6,43,"EU"
43,2045,8,37,"US"
44,1995,8,35,"US"
52,1591,5,47,"EU"
54,1355,5,50,"EU"
48,1345,6,43,"EU"
55,1214,5,53,"EU"
49,1332,7,44,"EU"
52,2406,6,46,"US"
53,1304,6,48,"EU"
47,966,5,39,"EU"
45,1475,7,38,"EU"
43,1143,7,37,"EU"
51,1617,5,44,"EU"
54,2341,6,47,"US"
56,1703,4,48,"EU"
62,944,5,60,"EU"
47,1834,7,39,"US"
59,1214,6,55,"EU"
49,1769,6,45,"US"
31,832,9,24,"US"
54,1577,6,48,"EU"
47,1260,7,41,"EU"
57,2629,6,52,"US"
66,2997,3,63,"US"
35,1385,7,27,"US"
61,1409,4,55,"EU"
55,1254,4,55,"EU"
45,1230,7,44,"EU"
56,1720,5,50,"EU"
59,1630,3,53,"EU"
46,1577,5,38,"EU"
48,1238,6,47,"EU"
38,1388,6,35,"US"
49,885,7,43,"EU"
48,1647,6,38,"US"
51,1118,5,47,"EU"
64,1587,5,58,"EU"
45,1767,8,41,"US"
64,2802,5,55,"US"
52,876,6,46,"EU"
63,2579,5,59,"US"
53,1730,6,47,"US"
46,586,5,39,"EU"
55,2044,6,48,"US"
49,1841,6,43,"US"
47,1242,7,45,"EU"
52,2461,5,51,"US"
52,2176,5,46,"US"
65,1580,5,59,"EU"
34,1661,8,31,"US"
42,1636,6,40,"US"
40,1344,8,33,"US"
20,891,9,10,"US"
59,1252,5,56,"EU"
61,2354,4,53,"US"
63,1346,6,60,"EU"
36,1217,9,33,"US"
43,1316,7,36,"US"
37,1097,7,33,"US"
60,2392,5,56,"US"
43,1820,8,38,"US"
41,1322,7,40,"US"
57,1929,5,55,"EU"
44,1840,6,38,"US"
28,1498,8,23,"US"
48,1869,7,43,"US"
54,1213,5,45,"EU"
49,1668,6,46,"EU"
49,2220,6,45,"US"
44,1496,7,36,"US"
59,1533,4,53,"EU"
45,558,6,39,"EU"
62,2390,5,58,"US"
51,777,7,48,"EU"
52,1748,6,43,"EU"
52,2243,6,46,"US"
46,1378,7,40,"EU"
41,752,7,35,"EU"
49,1170,6,45,"EU"
38,1863,8,27,"US"
57,663,5,55,"EU"
59,1737,5,55,"EU"
57,1708,5,54,"EU"
48,2081,5,42,"US"
47,915,6,39,"EU"
65,2980,5,56,"US"
38,792,7,32,"US"
35,989,8,28,"US"
59,1270,6,54,"EU"
65,3624,4,62,"US"
49,1162,5,40,"EU"
41,700,7,38,"EU"
49,1091,6,46,"EU"
65,2943,5,62,"US"
44,1007,6,37,"EU"
48,1066,6,45,"EU"
46,1383,6,42,"EU"
57,1773,6,55,"EU"
65,1252,4,58,"EU"
51,946,6,49,"EU"
36,1025,7,28,"US"
58,3174,4,56,"US"
39,1154,7,33,"US"
51,865,7,49,"EU"
44,2301,9,45,"US"
52,1750,5,47,"EU"
32,1560,7,27,"US"
54,1500,6,50,"EU"
56,2269,6,50,"US"
60,1328,4,52,"EU"
54,2063,5,49,"EU"
46,771,7,40,"EU"
52,1193,7,48,"EU"
54,2609,7,52,"US"
59,1452,4,54,"EU"
59,1337,5,52,"EU"
57,2432,4,51,"US"
50,997,6,45,"EU"
52,2255,5,48,"US"
35,1786,8,33,"US"
41,2001,7,40,"US"
50,1579,6,45,"EU"
56,1674,5,49,"EU"
25,948,9,20,"US"
56,2547,5,53,"US"
51,1807,7,45,"EU"
59,2567,5,53,"US"
61,1894,6,57,"EU"
66,1156,3,64,"EU"
52,1480,6,44,"EU"
60,1523,4,58,"EU"
45,1963,8,36,"US"
55,1778,4,46,"EU"
50,1788,5,45,"EU"
55,1991,4,51,"EU"
50,750,7,45,"EU"
45,1366,7,37,"EU"
51,1783,6,44,"EU"
40,1218,7,34,"US"
51,998,6,49,"EU"
48,2148,7,45,"US"
65,1922,4,59,"EU"
52,2465,6,44,"US"
35,1296,9,29,"US"
36,1109,8,31,"US"
35,1630,8,27,"US"
41,1246,8,41,"US"
48,933,6,45,"EU"
50,1816,6,46,"EU"
59,2279,5,53,"US"
59,1030,5,52,"EU"
55,1532,5,50,"EU"
41,485,8,35,"EU"
57,1530,4,50,"EU"
60,1738,5,53,"EU"
39,1320,6,32,"EU"
52,818,7,46,"EU"
48,1327,7,41,"EU"
46,1521,6,40,"US"
55,1458,4,54,"EU"
48,930,6,46,"EU"
44,1660,6,41,"US"
43,1156,7,35,"EU"
56,1860,5,52,"EU"
39,1153,6,33,"US"
52,2541,6,46,"US"
49,2067,6,44,"US"
51,1295,6,47,"EU"
53,1476,6,46,"EU"
65,2897,4,61,"US"
50,2234,6,40,"US"
63,1984,6,56,"EU"
61,1493,4,52,"EU"
47,1476,6,45,"EU"
35,1222,8,27,"US"
58,2474,5,51,"US"
49,1803,6,44,"EU"
54,1678,6,49,"EU"
61,1226,5,54,"EU"
47,1384,5,47,"EU"
44,1808,8,36,"US"
42,1226,7,35,"EU"
33,750,9,25,"US"
34,1093,8,29,"US"
60,2905,5,55,"US"
23,982,9,15,"US"
49,2207,6,41,"US"
55,1722,6,52,"EU"
38,1399,8,31,"US"
54,2536,7,47,"US"
42,1679,7,38,"US"
48,1886,6,42,"US"
59,2647,5,52,"US"
53,816,6,52,"EU"
50,1281,6,45,"EU"
54,2808,7,47,"US"
47,1837,5,43,"US"
50,1037,7,45,"EU"
62,1907,5,57,"EU"
51,956,5,44,"EU"
56,2798,5,54,"US"
55,852,6,52,"EU"
49,2423,8,42,"US"
33,852,9,29,"US"
33,1356,8,31,"US"
70,3900,3,61,"US"
56,2246,5,51,"US"
60,2030,6,55,"EU"
54,1478,6,51,"EU"
45,2022,8,43,"US"
22,719,9,17,"US"
52,1461,6,49,"EU"
50,924,7,48,"EU"
58,2679,5,55,"US"
47,1234,7,42,"EU"
63,2395,5,58,"US"
56,1839,5,53,"EU"
59,1672,6,54,"EU"
44,1350,7,41,"US"
22,1470,10,17,"US"
51,2167,7,50,"US"
56,1531,5,51,"EU"
36,1055,8,32,"US"
54,1105,6,49,"EU"
53,936,6,47,"EU"
55,1229,5,49,"EU"
47,907,5,37,"EU"
49,1193,5,45,"EU"
48,790,6,42,"EU"
58,2277,5,54,"US"
44,1630,7,37,"US"
40,1675,7,36,"US"
62,1436,5,61,"EU"
49,1371,6,46,"EU"
45,1311,7,38,"EU"
61,2429,4,57,"US"
66,1469,4,59,"EU"
31,1650,8,26,"US"
43,1608,6,40,"US"
59,2197,5,56,"US"
40,1076,8,37,"US"
39,1253,6,33,"US"
34,1513,8,26,"US"
34,1523,7,27,"US"
39,1102,7,31,"US"
51,1220,7,50,"EU"
62,2460,5,58,"US"
46,610,7,43,"EU"
39,1387,8,36,"US"
59,2323,7,54,"US"
37,874,7,35,"US"
33,1700,10,26,"US"
60,1694,5,56,"EU"
59,1506,5,50,"EU"
63,1748,4,57,"EU"
54,1373,7,48,"EU"
62,2535,5,56,"US"
50,1248,7,46,"EU"
44,1713,7,39,"EU"
52,939,5,47,"EU"
49,2166,5,42,"US"
35,1046,8,29,"US"
52,1189,6,46,"EU"
47,702,5,41,"EU"
53,1538,6,50,"EU"
61,1613,5,59,"EU"
51,975,6,45,"EU"
51,2289,7,46,"US"
45,2217,8,41,"US"
63,1825,5,57,"EU"
46,1068,7,40,"EU"
41,952,7,35,"US"
57,1694,6,50,"EU"
47,1415,8,44,"EU"
56,1765,5,54,"EU"
51,1334,8,46,"EU"
62,1748,5,57,"EU"
45,1119,7,39,"EU"
60,1087,5,53,"EU"
59,1517,5,53,"EU"
42,1272,6,37,"EU"
61,1669,6,55,"EU"
70,1385,3,68,"EU"
36,951,8,35,"US"
39,1710,7,36,"US"
44,1857,7,42,"EU"
65,1852,5,59,"EU"
39,1270,7,29,"US"
61,1874,4,54,"EU"
64,2233,5,62,"US"
40,1352,7,35,"US"
47,1717,5,43,"US"
51,1257,6,46,"EU"
57,1452,5,52,"EU"
35,1070,8,28,"US"
25,720,9,20,"US"
65,1533,4,60,"EU"
46,1704,6,41,"EU"
53,982,7,48,"EU"
56,1426,3,50,"EU"
54,1386,5,51,"EU"
64,1592,4,58,"EU"
35,813,8,31,"US"
31,1068,8,26,"US"
62,2735,5,58,"US"
30,1233,8,21,"US"
32,1088,8,28,"US"
54,1167,7,49,"EU"
48,1636,6,44,"EU"
44,716,7,40,"EU"
42,1804,7,38,"US"
50,2357,6,47,"US"
46,1097,6,43,"EU"
52,1232,5,47,"EU"
62,2409,5,58,"US"
43,1110,7,40,"EU"
59,1467,5,54,"EU"
31,1146,8,26,"US"
43,1643,8,39,"US"
64,2980,4,59,"US"
55,1550,5,53,"EU"
59,1926,5,53,"EU"
59,2581,5,52,"US"
48,1735,5,45,"US"
47,1650,5,42,"EU"
58,2407,5,52,"US"
52,1590,6,47,"EU"
43,1131,7,37,"US"
45,1233,7,41,"EU"
60,1229,6,54,"EU"
53,1126,5,46,"EU"
42,1580,8,35,"US"
59,981,5,56,"EU"
45,1805,7,40,"US"
61,2358,6,51,"US"
53,1076,6,47,"EU"
58,2499,6,54,"US"
41,1203,7,38,"US"
51,913,7,46,"EU"
39,797,6,35,"EU"
55,1193,4,47,"EU"
37,1969,7,33,"US"
34,965,7,31,"US"
53,559,8,50,"EU"
56,1426,5,52,"EU"
31,832,7,27,"US"
52,2176,5,47,"US"
51,1334,6,44,"EU"
46,1266,6,42,"EU"
37,2248,7,35,"US"
38,1587,7,32,"US"
56,1531,7,47,"EU"
55,2044,5,50,"US"
57,1177,5,51,"EU"
45,1517,7,42,"US"
62,2535,5,54,"US"
55,1991,5,51,"EU"
57,1929,5,49,"EU"
36,842,8,31,"US"
62,1748,4,59,"EU"
49,804,6,43,"EU"
37,1969,7,34,"US"
54,2609,6,47,"US"
56,1536,6,48,"EU"
45,1119,8,39,"EU"
63,1984,5,58,"EU"
35,957,8,31,"US"
59,1270,4,54,"EU"
55,2499,5,53,"US"
70,3900,4,63,"US"
45,1225,7,41,"US"
43,1820,7,38,"US"
54,2196,6,48,"US"
57,1481,5,51,"EU"
37,1097,7,34,"US"
53,1304,7,51,"EU"
31,1005,9,27,"US"
61,2354,6,55,"US"
48,2148,6,44,"US"
64,2980,4,63,"US"
56,1860,5,46,"EU"
33,750,9,28,"US"
40,1991,7,35,"US"
57,663,6,52,"EU"
42,560,7,39,"EU"
56,2798,5,51,"US"
55,2227,5,49,"US"
50,1243,6,45,"EU"
49,1371,6,46,"EU"
58,2407,4,54,"US"
51,1118,6,46,"EU"
52,1750,6,49,"EU"
59,1630,5,56,"EU"
36,1055,8,30,"US"
56,1426,6,52,"EU"
31,832,7,28,"US"
52,2176,6,46,"US"
51,1334,6,49,"EU"
46,1266,6,41,"EU"
37,2248,8,33,"US"
38,1587,7,29,"US"
56,1531,5,53,"EU"
55,2044,5,56,"US"
57,1177,5,52,"EU"
45,1517,7,42,"US"
62,2535,6,57,"US"
55,1991,5,52,"EU"
57,1929,5,52,"EU"
36,842,8,29,"US"
62,1748,4,56,"EU"
49,804,5,46,"EU"
37,1969,6,34,"US"
54,2609,5,49,"US"
56,1536,5,50,"EU"
45,1119,6,42,"EU"
63,1984,4,56,"EU"
35,957,7,29,"US"
59,1270,6,52,"EU"
55,2499,5,52,"US"
70,3900,5,66,"US"
45,1225,8,38,"US"
43,1820,9,34,"US"
54,2196,6,51,"US"
57,1481,4,52,"EU"
37,1097,7,29,"US"
53,1304,5,47,"EU"
31,1005,7,23,"US"
61,2354,5,59,"US"
48,2148,5,45,"US"
64,2980,3,60,"US"
56,1860,5,48,"EU"
33,750,9,28,"US"
40,1991,6,35,"US"
57,663,3,52,"EU"
42,560,6,40,"EU"
56,2798,5,50,"US"
55,2227,5,49,"US"
50,1243,6,48,"EU"
49,1371,5,46,"EU"
58,2407,5,51,"US"
51,1118,6,44,"EU"
52,1750,5,46,"EU"
59,1630,7,54,"EU"
36,1055,6,34,"US"
56,1426,6,54,"EU"
31,832,9,28,"US"
52,2176,6,44,"US"
51,1334,6,44,"EU"
46,1266,6,43,"EU"
37,2248,6,31,"US"
38,1587,8,32,"US"
56,1531,5,53,"EU"
55,2044,5,53,"US"
57,1177,5,47,"EU"
45,1517,7,41,"US"
62,2535,5,56,"US"
55,1991,6,52,"EU"
57,1929,5,55,"EU"
36,842,8,30,"US"
62,1748,6,57,"EU"
49,804,6,43,"EU"
37,1969,7,28,"US"
54,2609,6,47,"US"
56,1536,5,50,"EU"
45,1119,7,39,"EU"
63,1984,4,59,"EU"
35,957,8,31,"US"
59,1270,7,54,"EU"
55,2499,5,48,"US"
70,3900,4,64,"US"
45,1225,7,39,"US"
43,1820,6,38,"US"
54,2196,6,49,"US"
57,1481,7,52,"EU"
37,1097,6,30,"US"
53,1304,5,48,"EU"
31,1005,8,28,"US"
61,2354,5,54,"US"
48,2148,6,43,"US"
64,2980,5,58,"US"
56,1860,6,51,"EU"
33,750,9,26,"US"
40,1991,8,35,"US"
57,663,4,47,"EU"
42,560,7,34,"EU"
56,2798,5,52,"US"
55,2227,6,49,"US"
50,1243,6,44,"EU"
49,1371,6,45,"EU"
58,2407,5,51,"US"
51,1118,5,44,"EU"
52,1750,7,48,"EU"
59,1630,5,59,"EU"
36,1055,8,31,"US"
